OID_,Date,Place,,geo_longitude,geo_latitude,Name,Sex,Notes_and_sources_,F8,F9,F10,F11,F12
234,1878,"Salem, MA",MA,-70.8967226,42.5195292,"Spofford, Daniel",m,"The """"Ipswich Witchcraft Case", both plantif and defendant were students of Mary Baker Eddy. (Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books," 1959)""""",,
41,1760,"Brookhaven, NY",NY,-72.9153827,40.7792653,"Norton, (fnu)",f,"Suspicioned. No record of the outcome. (Source: Taylor, John M. The Witchcraft Delusion in Colonial Connecticut, 1647-1697. New York: Burt Franklin, 1971)",,,,,
71,1724,"Colchester, CT",CT,-72.34158115,41.579503,"Spencer, Sarah",f,"Accused. Awarded damages against Elizabeth and John Ackley of 1 shilling. (Source: Taylor, John M. The Witchcraft Delusion in Colonial Connecticut, 1647-1697. New York: Burt Franklin, 1971)",,,,,
12,1712,"Annapolis, MD",MD,-76.492786,38.9786401,"Violl, Virtue",f,"Acquitted. Spinster. She lived in Talbott County. (Sources: Parke, Frances Neal ""Witchcraft in Maryland"," Maryland Historical Magazine 31:4 (Dec 1936) p.271-298.)""""",,,,
21,1705,"Norfolk, VA",VA,-76.25731107,36.9306505,"Sherwood, Grace",f,"After declining to appear before the court, she was arrested and put to the Water Test. She was remanded to to the county jail and clapped in irons. The record ends there, although there is a record of her will being written 8/20/1733. (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
17,1698,"Norfolk, VA",VA,-76.25731107,36.9306505,"Byrd, Anne",f,"Acquitted. Countersued accuser for defamation (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
18,1698,"Norfolk, VA",VA,-76.25731107,36.9306505,"Byrd, John",m,"Acquitted. Countersued accuser for defamation (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
19,1698,"Norfolk, VA",VA,-76.25731107,36.9306505,"Sherwood, Grace",f,"Acquitted, Countersued accuser for defamation (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
20,1698,"Norfolk, VA",VA,-76.25731107,36.9306505,"Sherwood, James",m,"Acquitted, Countersued accuser for defamation (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
15,1697,"Norfolk, VA",vA,-76.25731107,36.9306505,"Sherwood, Grace",f,"Acquitted, Countersued accuser for defamation (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
16,1697,"Norfolk, VA",vA,-76.25731107,36.9306505,"Sherwood, James",m,"Acquitted, Countersued accuser for defamation (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
57,1697,"Hartford, CT",CT,-72.6830523,41.7634935,"Benham, Winifred",f,"Excommunicated, but Acquitted. (Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959; Taylor, John M. The Witchcraft Delusion in Colonial Connecticut, 1647-1697. New York: Burt Franklin, 1971)",,,,,
58,1697,"Hartford, CT",CT,-72.6830523,41.7634935,"Benham, Winifred",f,"Excommunicated, but Acquitted. Daughter of the above. (Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959; Taylor, John M. The Witchcraft Delusion in Colonial Connecticut, 1647-1697. New York: Burt Franklin, 1971)",,,,,
10,1695,"Westmoreland, VA",VA,-76.7567355,38.1153203,"Dunkin, Elizabeth",f,"Acquitted. Henry Dunkin accused John and Elizabeth Dunkin. She countersued for 40000 Pounds in damages, and received 40. (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
11,1695,"Westmoreland, VA",VA,-76.7567355,38.1153203,"Dunkin, James",m,"Acquitted. Henry Dunkin accused John and Elizabeth Dunkin. (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
9,1694,"Westmoreland, VA",VA,-76.7567355,38.1153203,"Money, Phyllis",f,"Acquitted. She countersued her accuser, William Earle for defamation, but received no damages. She was alleged to have cast a spell on Henry Dunkin's horse, and to have taught her daughter, Dunkin's wife to be a Witch, and to have taught Dunkin to be a Wizard. (Source: Davis, Richard Beale ""The Devil in Virginia in the Seventeenth Century Virginia Magazine of History and Biography 65 (1957) 131-49.)""",,,,,
31,1693,"Stratford, CT",CT,-73.1331651,41.1845415,"Crotia, Hugh",m,"Jury found no bill. (Source: Taylor, John M. The Witchcraft Delusion in Colonial Connecticut, 1647-1697. New York: Burt Franklin, 1971).",,,,,
147,1693,"Andover, MA",MA,-71.1408776,42.65717,"Post, Sarah",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
86,1692,"Woburn, MA",MA,-71.1522766,42.4792618,"Carter, Bethia (Jr.)",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
87,1692,"Woburn, MA",MA,-71.1522766,42.4792618,"Carter, Bethia (Sr.)",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
88,1692,"Woburn, MA",MA,-71.1522766,42.4792618,"Sears, Ann",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
235,1692,"Wenham, MA",MA,-70.8911613,42.604261,"Bibber, Sarah",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
236,1692,"Wenham, MA",MA,-70.8911613,42.604261,"Davis, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
263,1692,"Wells, ME",ME,-70.5808867,43.3220301,"Burroughs, Rev. George",m,"Hanged. Arrested in Wells, Maine and extradited to Salem. (5/4) (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977)",,,,,
165,1692,"Topsfield, MA",MA,-70.9494966,42.6375935,"Abbott, Nehemiah",m,Cleared of charges. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
166,1692,"Topsfield, MA",MA,-70.9494966,42.6375935,"Hobbs, Abigail",f,"Tried and condemned, She confessed (4/19) Repreived? (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977, Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
167,1692,"Topsfield, MA",MA,-70.9494966,42.6375935,"Hobbs, Deliverance",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
168,1692,"Topsfield, MA",MA,-70.9494966,42.6375935,"Hobbs, William",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
169,1692,"Topsfield, MA",MA,-70.9494966,42.6375935,"How, Elizabeth",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
170,1692,"Topsfield, MA",MA,-70.9494966,42.6375935,"How, James",m,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
171,1692,"Topsfield, MA",MA,-70.9494966,42.6375935,"Wildes, Sarah",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
275,1692,"Salisbury, MA",MA,-70.836917,42.839635,"Bradbury, Mary",f,Tried and condemned 9/9 (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
183,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Andrew, Daniel",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
184,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Bishop, Bridget",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
185,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Bishop, Edward",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
186,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Bishop, Sarah",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
187,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Black, Mary",f,"Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977) Slave? (Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
188,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Buckley, Sarah",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
189,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Buckley, Sarah (Jr)",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
190,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Buxton, John",m,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
191,1692,"Salem, MA",MA,-70.8967226,42.5195292,Candy,f,Examined Barbados Slave. Acquitted on 2 charges of Witchcraft. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
192,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Carroll, Hannah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
193,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Churchill, Sarah",f,"Examined. One of the """"Afflicted girls. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977)""""",,,,,
194,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Cloyce, Sarah",f,Examined. Rebecca Nurse's sister (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
195,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Coffin, Sarah",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
196,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Cole, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
197,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Corey, Giles",m,Pressed to Death. Note that he refused to plead to the indictments to his case (possibly because he did not accept the legality of the court he was in) and thereby brought about his own torture. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
198,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Corey, Martha",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
199,1692,"Salem, MA",MA,-70.8967226,42.5195292,"DeRich, Mary",f,"(Aka Rich, Mary de) Examined. Sister of Elizabeth Proctor and daughter of the Lynn Quaker, William Bassett Sr. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
200,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Easty, Mary",f,"Released after examination. After the public outcry, she was arrested a second time. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977, Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959 (The latter gives Topfield as her home))",,,,,
201,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Easty, Mary",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
202,1692,"Salem, MA",MA,-70.8967226,42.5195292,"English, Mary",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
203,1692,"Salem, MA",MA,-70.8967226,42.5195292,"English, Philip",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
204,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Good, Dorcas",f,"Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977) [Good, Dorothy? Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)]",,,,,
205,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Good, Sarah",f,Hanged (Wife of a common laborer) (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
206,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Hawkes, Margaret",f,"Examined. May be related to the Quaker Hawkes' of Marblehead? (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
207,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Hubbard, Elizabeth",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
208,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Indian John (or Indian, John)",f,"Tituba's Husband, and accused? (Source: Mitchaell, Roger, Witchcraft, the history and mythology. 1995).",,,,,
209,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, George (Jr)",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
210,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, George (Sr)",m,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
211,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, Margaret",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
212,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, Martha",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
213,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Jacobs, Rebecca",f,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
214,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Lewis, Mercy",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
215,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Nurse, Rebecca",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
216,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Osborne, Sarah",f,"She died in prison in Boston. A Widow, she possessed a considerable estate. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977)",,,,,
217,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Parker, Alice",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
218,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Pease, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
219,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, Benjamin",m,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
220,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, Elizabeth",f,"Tried, Convicted, Plead Pregnancy. Sister of Mary de Rich and daughter of the Lynn Quaker, William Bassett Sr. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977, Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650- 1750)",,,,,
221,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, John",m,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
222,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
223,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Proctor, William",m,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
224,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Pudeator, Anne",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
225,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Riels, Mary de",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
226,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Somes, Abigail",f,"Examined. An Invalid. Sister of John Somes, a Boston Quaker. She is listed by some sources as a resident of Gloucester. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977 Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
227,1692,"Salem, MA",MA,-70.8967226,42.5195292,Tituba,f,"Tried, Held in Jail. Carib Indian Slave (sometimes refered to as a Negro slave) tried (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977)",,,,,
228,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Warren, Mary",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
229,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Warren, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
230,1692,"Salem, MA",MA,-70.8967226,42.5195292,"White, Mrs",f,"(Source: Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959)",,,,,
231,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Willard, John",m,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
232,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Williams, Abigail",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
233,1692,"Salem, MA",MA,-70.8967226,42.5195292,"Witheridge, Mary",f,"Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977) (aka Whittredge, Mary)",,,,,
245,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Flood, Capt John",m,"Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977, Robbins, Russell Hope. The Encyclopedia of Witchcraft and Demonology. New York: Bonanza Books, 1959 (The latter gives Romney Marsh as her home))",,,,,
246,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Howard, John",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
247,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Jackson, John (Jr)",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
248,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Jackson, John (Sr)",m,Examined (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
249,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Post, Hannah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
250,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Post, Mary",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
251,1692,"Rowley, MA",MA,-70.8786628,42.7167594,"Scott, Margaret",f,Hanged (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
149,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Colson, Elizabeth",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
150,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Colson, Mary",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
151,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Dustin, Lydia",f,Examined. Died in prison. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
152,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Dustin, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
153,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Rice, Sarah",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
154,1692,"Reading, MA",MA,-71.0953314,42.5256502,"Taylor, Mary",f,Examined. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977),,,,,
258,1692,"Piscataqua, ME",ME,-70.7651084,43.0934089,"Dicer, Elizabeth",f,"Examined. Listed as the wife of a Seaman from Gloucester. (Sources: Boyer and Nissenbaum. The Salem Witchcraft papers. 1977; Heyrman, Christine. Commerce and Culture, The Maritime Communities of Colonial Massachusetts, 1650-1750)",,,,,
